rank,restaurant_name,city,state,phone_number,website,email_address,source,source_url,verification_status
53,Hoody's Sub Shop,Round Rock,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
54,Santorini Cafe,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
55,DEE DEE,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
56,The Shed Market,Abilene,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
57,Banh Mi Houston,Spring,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
58,E B Latin Bistro,Plano,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
59,Railway Cafe,Athens,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
60,Truth BBQ,Brenham,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
61,The Big Kahuna,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
62,Titas Taco House,Humble,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
63,Lula Jane's,Waco,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
64,Casa Jacaranda,Venus,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
65,Ephesus Mediterranean Grill,Dallas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
66,Pollos Asados Los Norteños,San Antonio,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
67,Irie's Island Food,Port Aransas,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
68,The Flying Carpet,Austin,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
69,Crepe Crazy,Dripping Springs,TX,,,,Yelp Top 100 Places to Eat in Texas 2019,https://blog.yelp.com/2019/03/top-100-places-to-eat-in-texas-according-to-yelp,contact_needs_verification
